prompt,completion
"안녕하세요. 오늘 경희내과에 예약이 되어 있는데요, 시간이 좀 어려워서 변경 문의드리려고요.","네, 안녕하세요. 확인 도와드릴게요. 성함이 어떻게 되실까요?"
홍길동입니다. 오늘 오전에 예약돼 있었어요.,"잠시만요.확인되었습니다. 오늘 오전 11시, 내과 진료로 예약되어 있으시네요. 변경 원하시는 시간대 있으신가요?"
"오후 시간대로 바꾸고 싶은데요, 가능한 시간 알려주실 수 있을까요?","네, 오후에는 2시 30분, 4시 30분 비어 있습니다. 어떤 시간으로 변경해드릴까요?"
2시 30분으로 바꿔주세요.,네 변경해드렸습니다. 다른 문의사항 있으실까요?
"아니요, 없어요.","네, 감사합니다."
안녕하세요. 오늘 병원 예약이 되어 있는데 시간 좀 변경할 수 있을까요?,"네, 안녕하세요. 확인 도와드릴게요. 성함 부탁드릴게요."
홍길동입니다. 원래 오전 11시 예약이었어요.,"네, 확인됐습니다. 내과 오전 11시 진료로 되어 있네요. 혹시 어느 시간대로 변경 원하시나요?"
갑자기 일정이 생겨서 오후로 옮기고 싶어요.,오후 몇시로 변경해드릴까요?
그럼 3시 40분으로 부탁드릴게요.,"네, 3시 40분으로 변경해드렸습니다. 진료 시작 10분 전까지 도착 해주세요."
"네, 감사합니다.","네, 좋은 하루 되세요."
"안녕하세요. 오늘 오전 11시에 진료 예약했는데, 갑자기 회의가 잡혀서 오후로 바꿀 수 있을까요?","네, 확인 도와드릴게요. 성함 말씀해주시겠어요?"
홍길동입니다. 내과 진료였어요.,"확인했습니다. 오전 11시 예약 맞고요. 오후엔 2시, 3시 반, 4시 50분 자리가 비어있는데 어떤 시간이 괜찮으세요?"
3시 반쯤이면 괜찮을 것 같아요.,"네, 3시 30분으로 변경해드렸어요. 진료 10분 전까지 도착 부탁드려요."
네 감사합니다.,"네, 조심히 오세요."
안녕하세요. 오늘 진료 예약이 있었는데 제가 날짜를 착각해서요… 혹시 예약 다시 잡을 수 있을까요?,"네, 성함 말씀해주시면 확인해드릴게요."
"홍길동이고요, 원래 오늘 오전 11시였던 것 같아요.",확인해보니 오늘 오전 11시 내과 진료 예약이 잡혀 있네요. 재예약 원하시는거죠?
"네, 가능하면 오후로 바꿔주세요.",오늘 오후 1시반이랑 2시 가능합니다. 어느 시간이 괜찮으세요?
2시로 부탁드릴게요.,"네, 변경 완료됐습니다. 내일 뵙겠습니다."
안녕하세요. 제가 늦잠을 자서 예약 시간 맞추기 어려울 것 같아요. 시간 좀 미룰 수 있을까요?,"네, 괜찮습니다. 예약 확인 도와드릴게요. 성함 알려주세요."
"홍길동이고요, 내과 오전 11시 진료였어요.",확인됐습니다. 오후에 1시 반이나 3시 10분 비어 있습니다. 어떤 시간으로 해드릴까요?
1시 반으로 부탁드릴게요.,"네, 1시 30분으로 변경 처리해드렸습니다. 시간 맞춰서 와주세요."
"안녕하세요. 오늘 오전 11시에 내과 예약이 되어 있는데, 일정이 생겨서 오후로 변경 가능할까요?","네, 성함이랑 연락처 확인부터 도와드릴게요."
"홍길동이고요, 010-1234-5678입니다.","확인했습니다. 7월 1일 화요일 오전 11시 경희 내과 예약 되어 있으시네요. 오후엔 2시 20분, 3시 50분 자리 있습니다. 어느 시간 원하시나요?"
3시 50분으로 부탁드릴게요.,"네, 3시 50분으로 변경 완료되었습니다. 10분 전까지 도착 부탁드릴게요."
감사합니다. 그 시간에 뵙겠습니다.,"네, 조심히 내원해주세요."
안녕하세요. 오늘 경희 내과에 오전 11시 예약이 잡혀 있는데 갑자기 일이 생겨서 오후로 바꿀 수 있을지 문의드려요.,"네, 성함과 전화번호 먼저 말씀해주세요."
"홍길동이고요, 번호는 010-1234-5678이에요.","확인되었습니다. 오늘 오전 11시 예약이시네요. 오후엔 1시 40분, 3시, 4시 10분 시간대가 비어 있어요. 원하시는 시간 있으실까요?"
"1시 40분은 조금 빠를 것 같고, 3시로 해주세요.","네, 3시로 변경 도와드렸습니다. 다른 궁금한 점 있으신가요?"
알겠습니다. 감사합니다.,"네, 좋은 하루 보내세요."
"안녕하세요. 제가 오늘 오전 11시에 경희 내과 예약했는데, 갑작스럽게 일정이 생겨서 진료 시간을 오후로 옮기고 싶어요.","네, 예약 확인 도와드릴게요. 성함과 연락처 알려주시겠어요?"
홍길동입니다. 전화번호는 010-1234-5678이에요.,"확인됐습니다. 오후에는 2시, 3시 15분, 5시 10분이 가능합니다. 어떤 시간 원하시나요?"
