prompt,completion
"안녕하세요. 오늘 경희내과에 예약이 되어 있는데요, 시간이 좀 어려워서 변경 문의드리려고요.","네, 안녕하세요. 확인 도와드릴게요. 성함이 어떻게 되실까요?"
홍길동입니다. 오늘 오전에 예약돼 있었어요.,"잠시만요.확인되었습니다. 오늘 오전 10시 30분, 내과 진료로 예약되어 있으시네요. 변경 원하시는 시간대 있으신가요?"
"오후 시간대로 바꾸고 싶은데요, 가능한 시간 알려주실 수 있을까요?","네, 오후에는 2시 20분, 3시 10분, 그리고 4시가 비어 있습니다. 어떤 시간으로 변경해드릴까요?"
3시 10분으로 부탁드릴게요.,"네, 3시 10분으로 변경해드렸습니다. 진료 10분 전까지 도착 부탁드립니다."
감사합니다.,"네, 조심히 오세요. 좋은 하루 보내세요."
안녕하세요. 오늘 병원 예약이 되어 있는데 시간 좀 변경할 수 있을까요?,"네, 안녕하세요. 확인 도와드릴게요. 성함 부탁드릴게요."
홍길동입니다. 원래 오전 11시 예약이었어요.,"네, 확인됐습니다. 내과 오전 11시 진료로 되어 있네요. 혹시 어느 시간대로 변경 원하시나요?"
갑자기 일정이 생겨서 오후로 옮기고 싶어요.,"오후에는 2시 30분, 3시 40분, 4시 50분이 비어 있어요. 어떤 시간이 괜찮으세요?"
그럼 3시 40분으로 부탁드릴게요.,"네, 3시 40분으로 변경해드렸습니다. 진료 시작 10분 전까지 도착 부탁드립니다."
"네, 감사합니다.","네, 조심히 오세요. 좋은 하루 되세요."
"안녕하세요. 오늘 오전 11시에 진료 예약했는데, 갑자기 회의가 잡혀서 오후로 바꿀 수 있을까요?","네, 확인 도와드릴게요. 성함 말씀해주시겠어요?"
홍길동입니다. 내과 진료였어요.,"확인했습니다. 오전 11시 예약 맞고요. 오후엔 2시, 3시 반, 4시 50분 자리가 비어있는데 어떤 시간이 괜찮으세요?"
3시 반쯤이면 괜찮을 것 같아요.,"네, 3시 30분으로 변경해드렸습니다. 진료 10분 전까지 도착 부탁드려요."
네 감사합니다.,"네, 조심히 오세요."
안녕하세요. 오늘 진료 예약이 있었는데 제가 날짜를 착각해서요… 혹시 예약 다시 잡을 수 있을까요?,"네, 성함 말씀해주시면 확인해보겠습니다."
"홍길동이고요, 원래 오늘 오전 11시였던 것 같아요.",확인해보니 오늘 오전 11시 내과 진료 예약이 잡혀 있네요. 재예약 원하시나요?
"네, 가능하면 오후로 바꿔주세요.",오늘 오후 1시반이랑 2시 가능합니다. 어느 시간이 괜찮으세요?
2시로 부탁드릴게요.,"네, 변경 완료됐습니다. 내일 뵙겠습니다."
안녕하세요. 제가 늦잠을 자서 예약 시간 맞추기 어려울 것 같아요. 시간 좀 미룰 수 있을까요?,"네, 괜찮습니다. 예약 확인 도와드릴게요. 성함 알려주세요."
"홍길동이고요, 내과 오전 11시 진료였어요.",확인됐습니다. 오후에 1시 반이나 3시 10분 비어 있습니다. 어떤 시간 원하시나요?
1시 반으로 부탁드릴게요.,"네, 1시 30분으로 변경 처리해드렸습니다. 시간 맞춰서 오시면 됩니다."
"안녕하세요. 오늘 오전 11시에 내과 예약이 되어 있는데, 일정이 생겨서 오후로 변경 가능할까요?","네, 성함이랑 연락처 확인 도와드릴게요."
"홍길동이고요, 010-1234-5678입니다.","확인했습니다. 7월 1일 화요일 오전 11시 경희 내과 예약 되어 있으시네요. 오후엔 2시 20분, 3시 50분 자리가 비어 있습니다. 어느 시간 원하시나요?"
3시 50분으로 부탁드릴게요.,"네, 3시 50분으로 변경 완료되었습니다. 10분 전까지 도착 부탁드립니다."
감사합니다. 그 시간에 뵙겠습니다.,"네, 조심히 내원해주세요."
안녕하세요. 오늘 경희 내과에 오전 11시 예약이 잡혀 있는데 갑자기 일이 생겨서 오후로 바꿀 수 있을지 문의드려요.,"네, 성함과 전화번호 부탁드립니다."
"홍길동이고요, 번호는 010-1234-5678이에요.","확인되었습니다. 오늘 오전 11시 예약이 맞고요, 오후엔 1시 40분, 3시, 4시 10분 시간대가 비어 있어요. 원하시는 시간 있으실까요?"
"1시 40분은 조금 빠를 것 같고, 3시로 해주세요.","네, 3시로 변경 도와드렸습니다. 접수는 10분 전까지 부탁드려요."
알겠습니다. 감사합니다.,"네, 내일 뵙겠습니다. 좋은 하루 보내세요."
"안녕하세요. 제가 오늘 오전 11시에 경희 내과 예약했는데, 갑작스럽게 일정이 생겨서 진료 시간을 오후로 옮기고 싶어요.","네, 예약 확인 도와드릴게요. 성함과 연락처 알려주시겠어요?"
홍길동입니다. 전화번호는 010-1234-5678이에요.,"확인됐습니다. 오후에는 2시, 3시 15분, 5시 10분이 가능합니다. 어떤 시간 원하시나요?"
2시는 조금 빠르니까 3시 15분으로 부탁드릴게요.,"네, 3시 15분으로 예약 변경 처리했습니다. 감사합니다."
"네, 수고 많으세요. 감사합니다.","네, 조심히 오세요."
"여보세요, 오늘 오전 11시에 경희 내과 예약한 홍길동인데요. 갑자기 외부 미팅이 생겨서 진료 시간을 오후로 바꿀 수 있을까요?","네, 확인 도와드릴게요. 전화번호 010-1234-5678 맞으시죠?"
네 맞아요.,확인됐습니다. 오후에 1시 반이나 4시 자리 가능하신데 어느 쪽이 괜찮으세요?
4시쯤이 편하겠네요. 그 시간으로 변경 부탁드려요.,"네, 4시로 변경 완료되었습니다. 진료 전 10분까지 오시면 됩니다."
"네, 감사합니다.",좋은 하루 되세요. 조심히 오세요.
"안녕하세요. 오늘 2025년 7월 1일 화요일 오전 11시에 경희 내과 예약돼 있는데, 갑자기 일정이 생겨서 진료를 오후로 미룰 수 있을까요?","네, 확인 도와드릴게요. 성함이랑 전화번호 알려주시겠어요?"
"홍길동이고요, 전화번호는 010-1234-5678입니다.","네, 확인되었습니다. 현재 오전 11시 예약 되어 있고요, 오후 1시 20분, 2시 50분, 4시 40분 예약 가능합니다. 어느 시간이 괜찮으세요?"
2시 50분이 괜찮을 것 같아요.,"네, 2시 50분으로 변경 완료했습니다. 진료 10분 전까지 도착 부탁드려요."
"네, 감사합니다. 그 시간에 뵐게요.","네, 뵙겠습니다."
"여보세요, 경희내과죠? 오늘 진료 시간 변경 때문에 전화드렸습니다.","네, 경희내과입니다. 어떤 문의이실까요?"
"제가 오늘 오전 11시에 홍길동 이름으로 내과 진료 예약이 되어 있었는데요, 갑자기 일정이 생겨서요. 혹시 오후 시간대로 변경이 가능할지 해서 연락드렸습니다.","아, 네. 홍길동님. 예약 확인 도와드리겠습니다. 성함과 예약 시간을 다시 한번 말씀해주시겠어요?"
"네, 홍길동이고요. 오늘 오전 11시에 내과 진료로 예약되어 있었습니다. 전화번호는 010-1234-5678입니다.","네, 잠시만 기다려주세요. (잠시 후) 네, 홍길동님, 오늘 오전 11시 내과 진료 예약 확인되었습니다. 오후 시간대로 변경을 원하시는군요. 몇 시쯤으로 생각하고 계신가요?"
"정확한 시간을 정하기가 어려워서요, 혹시 오후에 가능한 시간대를 몇 군데 알려주실 수 있으실까요?","네, 확인해드리겠습니다. 현재 오후에는 2시 30분, 3시 50분, 그리고 5시 10분 이렇게 세 타임이 비어 있습니다. 이 중에서 편하신 시간이 있으실까요?"
음... 3시 50분으로 변경 부탁드릴 수 있을까요?,"네, 알겠습니다. 오후 3시 50분으로 변경 처리 도와드리겠습니다. 진료 10분 전까지는 도착해주시면 감사하겠습니다."
"네, 정말 감사합니다!",천만에요. 다른 궁금한 점은 없으실까요?
"아니요, 없습니다. 수고하세요.","네, 홍길동님. 조심히 오세요."
"여보세요, 경희내과 맞죠? 제가 오늘 진료 예약이 되어 있어서 전화드렸는데요, 혹시 진료 시간 변경이 가능할지 해서 문의드립니다.","네, 경희내과입니다. 어떤 진료이시고, 성함이 어떻게 되실까요?"
"아, 네. 제가 홍길동인데요, 오늘 오전 11시에 내과 진료로 예약이 되어 있었거든요. 전화번호는 010-1234-5678입니다.","네, 잠시만 확인 도와드리겠습니다. (잠시 후) 네, 홍길동님, 오전 11시 내과 예약 확인되었습니다. 진료 시간 변경을 원하시는군요. 혹시 어떤 시간대로 변경을 원하시는지 알려주실 수 있으실까요?"
"네, 갑자기 오후에 중요한 일정이 생기는 바람에 도저히 오전에 맞춰서 가기가 어렵게 되었어요. 혹시 오늘 오후 진료가 비어 있는 시간이 있을까요? 아니면 내일이라도 괜찮은데, 가능한 시간대가 언제쯤인지 좀 알려주실 수 있을까요?","네, 고객님. 불편하시겠지만 진료시간을 변경해드릴 수 있도록 최대한 노력하겠습니다. 우선 오늘 오후 시간부터 확인해 볼까요? 오늘 오후에는 현재 2시 30분과 3시 50분 진료가 가능합니다. 어느 시간이 괜찮으실까요?"
