prompt,completion
안녕하세요. 감기 증상이 있어서 진료 예약하려고요.,"네, 안녕하세요. 내과 진료 예약 도와드릴게요. 원하시는 날짜나 시간 있으실까요?"
내일 오전 중으로 가능할까요?,"네, 확인해보겠습니다. 내일 오전에는 9시 45분이나 11시가 비어 있는데, 어떤 시간이 괜찮으세요?"
9시 45분에 예약할게요.,"네, 내일 오전 9시 45분 내과 진료로 예약 도와드렸습니다. 성함이랑 연락처 여쭤봐도 될까요?"
"이수정이고요, 010-5678-1234입니다.","확인됐습니다. 처음 예약이시니 접수 시 신분증 지참해주시고, 진료 10분 전까지 도착 부탁드릴게요."
"네, 감사합니다. 내일 뵐게요.","네, 조심히 오세요. 좋은 하루 보내세요."
안녕하세요. 열이 나고 몸살 기운이 있어서 진료 예약 좀 하려고요.,"네, 안녕하세요. 내과 진료 예약 도와드릴게요. 언제쯤 방문 원하시나요?"
내일 오전 중에 시간 괜찮을까요?,확인해보겠습니다. 내일 오전에는 10시 반과 11시 20분 중 선택 가능하세요. 어느 쪽이 괜찮으세요?
11시 20분으로 부탁드릴게요.,"네, 내일 오전 11시 20분으로 예약 도와드렸습니다. 성함이랑 연락처 확인 부탁드릴게요."
"최은지이고요, 전화번호는 010-9988-1122입니다.",확인됐습니다. 초진이시라 간단한 접수 절차 있으니 10분 일찍 도착 부탁드립니다.
"네, 감사합니다. 내일 뵐게요.","네, 조심히 오세요. 좋은 하루 되세요."
안녕하세요. 감기 증상이 너무 심해서 진료 예약 좀 하려고 전화드렸어요.,"네, 안녕하세요. 많이 불편하시겠어요. 내과 진료 예약 도와드릴게요. 처음 방문이신가요, 아니면 이전에 오신 적 있으세요?"
처음 가보는 거예요. 요 며칠 기침이랑 열이 계속 나서요.,알겠습니다. 초진 접수로 진행해드릴게요. 혹시 원하시는 진료 날짜나 시간 있으실까요?
가능하면 내일 오전 중으로 진료를 받고 싶은데요.,"네, 잠시만요... 내일 오전에는 9시 30분, 10시 45분, 그리고 11시 15분 세 타임이 가능한데요. 어떤 시간이 괜찮으실까요?"
10시 45분이 제일 괜찮을 것 같아요. 그 시간으로 예약할게요.,"네, 10시 45분 내과 진료로 예약해드리겠습니다. 성함과 연락처 확인 도와드릴게요."
"이가영이고요, 전화번호는 010-3333-7788입니다.","확인되었습니다. 초진이시라 방문하시면 간단한 문진표 작성이 있을 수 있고요, 진료 시작 10분 전까지 도착 부탁드립니다."
"네, 알겠습니다. 신분증도 챙겨가면 되죠?","네, 신분증 지참해주시면 됩니다. 혹시 최근에 감기약 복용하신 거 있으시면 알려주시면 좋고요."
"아, 네. 약은 아직 안 먹었고 내일 뵐게요. 감사합니다.","네, 내일 뵙겠습니다. 조심히 오세요. 좋은 하루 되세요."
"여보세요, 감기 증상이 심해서 진료 예약하려고요.","네, 내과 진료 예약 도와드릴게요. 원하시는 시간대 있으실까요?"
내일 오전 중 가능한 시간이 있을까요?,내일 오전엔 9시 40분이 비어 있는데 괜찮으세요?
"네, 9시 40분으로 부탁드릴게요.",성함이랑 전화번호 부탁드려도 될까요?
"장민우이고요, 010-4455-8899입니다.","네, 예약 완료됐고요. 진료 10분 전까지 오시면 됩니다."
감사합니다!,"네, 내일 뵙겠습니다. 좋은 하루 보내세요."
안녕하세요. 몸살이랑 목이 너무 아파서 진료 예약하려고요.,"네, 내과 진료 예약 도와드릴게요. 내일 오전 중으로 원하시나요?"
"네, 가능하면 오전 중에 받고 싶어요.",내일 10시 20분 예약 가능하신데 괜찮으세요?
"네, 그 시간으로 부탁드릴게요.",성함이랑 연락처 알려주시겠어요?
"최윤서이고요, 010-1122-3344입니다.","확인됐습니다. 예약 완료됐고요, 진료 시작 10분 전까지 도착 부탁드립니다."
"네, 감사합니다.","네, 내일 뵙겠습니다."
"여보세요, 진료 예약 좀 하려고요. 기침이 며칠째 계속돼서 진료받고 싶습니다.","네, 안녕하세요. 내과 진료 예약 도와드릴게요. 언제쯤 진료 원하시나요?"
내일 오전 중에 받을 수 있을까요?,"잠시 확인해볼게요. 내일 오전엔 9시 50분, 10시 40분이 가능한데요. 어떤 시간 원하시나요?"
10시 40분으로 부탁드릴게요.,"네, 예약 도와드릴게요. 성함과 전화번호 알려주시겠어요?"
"박시은이고요, 010-4567-1234입니다.","확인됐습니다. 예약 완료됐고요, 초진 접수 있으니 10분 일찍 도착 부탁드릴게요."
"네, 감사합니다. 내일 뵙겠습니다.","네, 조심히 오세요. 좋은 하루 보내세요."
안녕하세요. 예약 문의 드리려고요. 열이 너무 나고 몸살 기운이 있어서 내과 진료 받고 싶어요.,많이 불편하시겠어요. 내과 진료 예약 도와드릴게요. 언제쯤 원하시나요?
